#E_electron (eV)	cross_section (cm2)
2.0000E+01	1.4123E-15
2.3028E+01	1.2491E-15
2.6514E+01	1.1014E-15
3.0528E+01	9.6878E-16
3.5150E+01	8.5045E-16
4.0472E+01	7.4535E-16
4.6599E+01	6.5234E-16
5.3654E+01	5.7029E-16
6.1777E+01	4.9808E-16
7.1130E+01	4.3466E-16
8.1898E+01	3.7906E-16
9.4297E+01	3.3038E-16
1.0857E+02	2.8781E-16
1.2501E+02	2.5062E-16
1.4394E+02	2.1816E-16
1.6573E+02	1.8984E-16
1.9082E+02	1.6515E-16
2.1971E+02	1.4365E-16
2.5297E+02	1.2492E-16
2.9127E+02	1.0861E-16
3.3537E+02	9.4416E-17
3.8614E+02	8.2068E-17
4.4460E+02	7.1327E-17
5.1191E+02	6.1986E-17
5.8941E+02	5.3864E-17
6.7864E+02	4.6803E-17
7.8139E+02	4.0665E-17
8.9969E+02	3.5331E-17
1.0359E+03	3.0694E-17
1.1927E+03	2.6665E-17
1.3733E+03	2.3164E-17
1.5812E+03	2.0122E-17
1.8206E+03	1.7479E-17
2.0962E+03	1.5183E-17
2.4136E+03	1.3189E-17
2.7790E+03	1.1456E-17
3.1997E+03	9.9504E-18
3.6841E+03	8.6427E-18
4.2419E+03	7.5069E-18
4.8841E+03	6.5202E-18
5.6235E+03	5.6632E-18
6.4749E+03	4.9188E-18
7.4552E+03	4.2722E-18
8.5839E+03	3.7106E-18
9.8834E+03	3.2228E-18
1.1380E+04	2.7991E-18
1.3103E+04	2.4311E-18
1.5086E+04	2.1115E-18
1.7370E+04	1.8339E-18
2.0000E+04	1.5928E-18
