#He+(1s) excitation cross sections in cm2, collsision with H(1s)
E[eV/amu]	1E3	10E3	100E3	1000E3
1s	0.75160049E-15	0.75453337E-15	0.64744768E-15	0.88652887E-15
2s	0.33076347E-17	0.35714467E-17	0.44462296E-17	0.18453049E-17
2p	0.12113102E-16	0.13754846E-16	0.11306953E-16	0.40520845E-17
3s	0.57850919E-18	0.43314636E-18	0.76117259E-18	0.28885702E-18
3p	0.33806424E-17	0.25043216E-17	0.15633283E-17	0.55076451E-18
3d	0.42486302E-17	0.21580221E-17	0.31406826E-18	0.11163454E-19
4s	0.21702616E-18	0.14807621E-18	0.28714876E-18	0.10689200E-18
4p	0.11054452E-17	0.10445321E-17	0.57258976E-18	0.19252362E-18
4d	0.24564712E-17	0.10885543E-17	0.14463402E-18	0.45212082E-20
4f	0.82475907E-18	0.17024073E-18	0.23675732E-20	NaN
5s	0.11103919E-18	0.77609864E-19	0.15003374E-18	0.44190326E-19
5p	0.41620023E-18	0.56550641E-18	0.29756633E-18	0.92841588E-19
5d	0.10764035E-17	0.57479488E-18	0.80822256E-19	0.78320111E-21
5f	0.53126133E-18	0.18066617E-18	0.29623296E-20	NaN
5g	0.27747335E-18	0.58391689E-20	0.89457078E-22	NaN
6s	0.48170043E-19	0.49464448E-19	0.10893082E-18	0.25656462E-19
6p	0.28338653E-18	0.39000796E-18	0.20091563E-18	0.52397828E-19
6d	0.38067597E-18	0.38089431E-18	0.50513517E-19	0.36979373E-21
6f	0.40385053E-18	0.16479750E-18	0.26453325E-20	NaN
6g	0.21877541E-18	0.63942785E-20	0.60434902E-22	NaN
6h	0.88596097E-19	0.35675614E-21	NaN	NaN
